Sample,B.cells,CD4.Naive,CD4.Memory,CD8.Naive,CD8.Memory,CD8.Effector,Treg.cell,Th.cell,Monocytes.CD16,Monocytes.CD14,DC,pDC,NK,Plasma,Step1,Step2,Step3,Step4.T.cell.recruiting,Step4.CD4.T.cell.recruiting,Step4.CD8.T.cell.recruiting,Step4.Th1.cell.recruiting,Step4.Dendritic.cell.recruiting,Step4.Th22.cell.recruiting,Step4.Macrophage.recruiting,Step4.Monocyte.recruiting,Step4.Neutrophil.recruiting,Step4.NK.cell.recruiting,Step4.Eosinophil.recruiting,Step4.Basophil.recruiting,Step4.Th17.cell.recruiting,Step4.B.cell.recruiting,Step4.Th2.cell.recruiting,Step4.Treg.cell.recruiting,Step4.MDSC.recruiting,Step5,Step6,Step7
TCGA.C5.A7CL.01A.11R.A32P.07,0,0.374843162,0.268994482,0,0,0.003364296,0,0.053479244,0.097147588,0,0.083267323,0.114868461,0.002064151,0.001971293,6.009,0.809,-0.728,-1.023,-0.743,-0.207,1.179,-0.38,-0.452,1.63,-0.508,2.233,0.344,-0.95,-0.801,-0.247,1.382,0.145,-0.752,-1.086,-0.856,0.676,1.205
TCGA.C5.A7CO.01A.11R.A352.07,0.050237147,0,0.029298233,0.055731763,0,0,0,0.42482723,0.204101204,0,0.039610196,0.195597346,0.000596881,0,5.438,-0.092,-2.667,0.693,1.983,0.311,-1.219,-0.255,-0.985,0.659,0.25,-1.455,0.32,-1.94,-0.617,-1.412,-1.409,-0.854,-1.541,-0.55,0.001,1.886,1.144
TCGA.C5.A7UC.01A.11R.A352.07,0,0,0.336185702,0.060542287,0,0,0,0.348348554,0.123230252,0.039675725,0.035213954,0.029674008,0.025186054,0.001943464,4.997,0.478,-2.322,-1.098,0.486,0.897,-0.655,-0.929,-0.357,0.598,0.706,3.9,0.099,-1.803,-0.608,1.174,0.866,-0.881,-1.854,-0.556,-1.448,-0.366,0.869
TCGA.C5.A7UE.01A.11R.A33Z.07,0,0,0.423047946,0,0,0.013659183,0,0.218007895,0.232322023,0,0,0.107324081,0.003865633,0.001773239,5.178,-0.532,-0.247,-0.422,1.005,-1.203,-0.865,-0.785,-0.53,-1.214,-0.885,-1.252,0.646,0.136,1.107,-0.467,-1.299,-0.277,-1.342,-1.268,-0.597,0.705,2.113
TCGA.C5.A7UH.01A.11R.A352.07,0.03432826,0,0.258236733,0,0.010850658,0,0,0.419053414,0.170315237,0,0,0.106499455,0,0.000716243,5.394,-0.076,-0.902,-0.663,-1.29,-0.188,0.22,-0.423,0.253,0.98,1.315,-0.413,0.783,-1.187,-0.906,0.749,1.273,-1.127,-0.756,0.052,-0.532,2.335,0.423
TCGA.C5.A7UI.01A.11R.A36F.07,0.042742371,0.008218253,0.50615379,0,0,0.019448829,0.002669231,0.091289888,0.070191631,0,0.103843382,0.135102613,0.016390478,0.003949534,5.679,-0.019,-0.391,3.212,1.05,2.163,1.905,2.432,-1.138,2.464,0.557,0.999,3.421,1.067,0.172,-0.17,0.915,1.14,-0.209,0.082,-0.864,0.807,0.456
TCGA.C5.A7X5.01A.11R.A36F.07,0,0.134011131,0.379939386,0,0,0.021257437,0,0.318024681,0.094706272,0,0,0.047936964,0.003525403,0.000598727,5.847,-0.191,-1.404,-1.342,0.178,0.625,-1.499,0.769,0.022,0.47,-0.779,-1.173,-1.308,0.227,0.115,-0.763,-0.185,-1.636,-2.125,-1.172,-0.727,1.552,-1.335
TCGA.C5.A7XC.01A.11R.A38B.07,0,0.362854697,0.215768762,0,0,0,0,0.094182808,0.04159146,0,0.02671916,0.236728339,0.017934997,0.004219776,5.473,-0.822,-1.357,0.353,0.748,-0.61,-0.904,1.155,0.615,1.457,-0.655,1.236,0.244,-0.239,-0.202,-0.576,0.071,0.485,-0.848,-0.725,-1.065,0.362,-0.067
TCGA.C5.A8XH.01A.11R.A37O.07,0.004848444,0.041200368,0.483821631,0,0,0,0.081730151,0.032756339,0.025866596,0,0.103103907,0.218509974,0.007882919,0.000279672,5.955,0.276,-0.171,1.875,1.14,1.869,2.362,0.729,-0.336,2.25,-0.215,1.029,3.274,-0.235,0.14,0.549,-0.453,-1.086,-2.117,-1.062,-0.3,1.158,-0.095
TCGA.C5.A8XI.01A.11R.A37O.07,0.087344963,0.23308659,0.320551341,0,0,0,0.130631843,0,0.126929048,0,0,0.090275275,0.01009713,0.00108381,5.35,-0.372,-1.063,1.848,1.887,2.632,1.526,0.281,-0.401,1.307,1.059,1.001,2.361,-1.019,-0.57,0.216,0.066,-1.024,-1.814,-1.064,-0.323,-0.655,-0.45
TCGA.C5.A8XJ.01A.11R.A37O.07,0,0.309993235,0.16016237,0,0,0,0.010862785,0.123390639,0,0.002223748,0.063405536,0.326930776,0,0.003030912,5.733,-0.375,-1.302,-0.157,-0.974,0.121,0.737,-0.114,-1.105,1.599,0.046,-1.691,1.831,-2.279,-1.4,0.012,0.567,-1.363,-1.07,-1.244,-0.245,0.063,-0.017
TCGA.C5.A8YQ.01A.11R.A37O.07,0.106048532,0.082266911,0.053591081,0,0,0.000862921,0,0.473246139,0.15516422,0,0,0.128820197,0,0,4.955,0.259,-2.49,-0.519,-0.49,-1.093,-0.499,0.148,0.229,1.141,1.134,-0.912,-0.099,-0.983,-0.578,-0.178,0.021,-1.388,-2.974,0.799,0.906,2.934,0.434
TCGA.C5.A905.01A.11R.A37O.07,0.036178558,0,0.302277102,0,0,0.002104027,0,0.343284435,0.119089741,0.027394491,0,0.168682619,0.000989026,0,4.764,-1.081,-0.756,1.09,-0.194,-0.159,-0.82,-1.003,-0.698,0.744,0.305,-1.36,0.1,-0.733,0.19,-0.359,0.483,-0.126,0.075,-1.165,-1.411,1.81,-0.15
TCGA.C5.A907.01A.11R.A37O.07,0,0,0.515740438,0,0,0.001300621,0.053469591,0,0,0,0.258987718,0.149342345,0.01747151,0.003687776,5.529,-0.143,-0.482,0.236,-1.236,1.638,1.674,0.222,-0.37,1.399,0.38,3.188,2.003,-1.19,-1.446,-0.473,-0.081,-1.298,-1.843,0.279,-0.403,0.295,0.699
TCGA.DG.A2KK.01A.11R.A180.07,0.109636011,0.238923513,0.095469084,0,0,0.042799845,0,0.220100928,0.097629272,0,0,0.195441347,0,0,4.654,-0.528,-2.677,0.982,1.224,1.899,0.489,-0.146,-0.526,0.563,-0.049,3.641,1.78,-1.255,-0.928,-0.15,-0.854,-0.974,-1.403,-1.368,-0.61,1.086,2.238
TCGA.DR.A0ZL.01A.11R.A10U.07,0,0.040926415,0.421146585,0,0,0.015418835,0,0.192540093,0.093335594,0,0,0.232482857,0.002186174,0.001963447,4.806,-0.372,-2.174,-0.824,0.779,0.702,-0.52,0.953,-1.469,-1.029,-0.886,0.728,-0.262,-0.896,-0.39,-1.081,-1.244,-0.044,-0.841,-0.554,-1.177,-0.698,1.009
TCGA.DR.A0ZM.01A.12R.A10U.07,0.124953123,0,0.145591541,0,0,0.011188812,0,0.329100358,0.107927238,0,0.208434668,0.060431237,0.012373022,0,5.066,0.574,-0.819,4.216,2.629,3.088,2.949,2.261,0.872,2.735,0.748,0.741,4.201,-0.536,-1.279,-0.397,1.576,0.822,-0.531,-1.249,1.188,2.245,0.545
TCGA.DS.A0VL.01A.21R.A10U.07,0.097155494,0.002444233,0.298961826,0,0,0,0,0.249352351,0.105584908,0,0,0.226973785,0.019527403,0,5.244,0.178,-1.549,1.681,1.25,1.821,1.739,0.577,0.648,2.031,0.586,1.247,2.756,-1.267,-0.561,-1.356,-0.692,-0.412,-1.483,-0.578,0.058,-0.932,-0.561
TCGA.DS.A0VM.01A.11R.A10U.07,0,0.153526604,0.396806714,0,0,0.005541647,0,0.153526211,0.027073192,0.043023103,0.041484335,0.174004967,0.003667532,0.001345694,5.43,-0.167,-3.665,0.27,0.549,1.038,0.921,-0.44,0.716,0.543,-0.516,0.356,1.726,-0.499,0.198,1.084,-1.022,0.459,-0.977,-0.827,0.764,-0.395,0.696
TCGA.DS.A0VN.01A.21R.A10U.07,0,0,0.248388445,0,0,0.005895265,0.020146145,0.189614385,0,0,0.230218555,0.29011723,0.014375334,0.001244641,5.905,0.638,0.192,3.582,1.209,3.432,3.126,2.691,-0.721,3.751,0.598,-0.033,4.742,0.979,-1.267,-0.242,0.439,-0.141,-1.48,0.421,-0.279,1.872,1.122
TCGA.DS.A1O9.01A.11R.A14Y.07,0,0.174846165,0.300049146,0,0,0.013436873,0.078321616,0,0.141416804,0,0.03423161,0.25589972,0.00176609,3.20E-05,5.132,0.342,0.099,1.758,0.599,2.495,2.599,1.097,-0.195,3.673,0.692,-0.393,4.19,-1.218,-0.877,-1.215,-0.487,-1.169,-2.332,-0.82,0.164,0.685,-0.026
TCGA.DS.A1OA.01A.11R.A14Y.07,0.114249587,0.071577484,0.255333259,0,0,0.004875024,0,0.203879621,0.095314705,0,0.004737622,0.246968012,0,0.003064685,5.434,0.46,-0.098,2.617,2.475,2.546,2.016,1.044,0.938,1.445,0.867,-1.344,3.027,-0.96,-0.529,-0.245,-1.029,-1.089,0.476,-0.756,0.514,1.354,-0.885
TCGA.DS.A1OB.01A.11R.A14Y.07,0.013055588,0,0.35967638,0,0,0.020881736,0,0.312522296,0.14007623,0,0,0.149489255,0.003992769,0.000305747,5.607,-0.877,-2.656,-0.431,-0.155,1.594,1.206,-1.029,-1.098,0.406,-0.813,-0.791,1.222,-1.113,-1.175,-0.642,-0.108,-1.019,-1.291,-0.954,-0.645,1.023,-0.542
TCGA.DS.A1OC.01A.11R.A14Y.07,0.03714118,0.267195342,0.073160414,0,0,0.00932749,0,0.217575843,0.109564654,0,0,0.286035078,0,0,5.237,-0.527,-1.659,1.598,0.213,0.287,0.333,1.421,0.924,1.913,-1.071,-0.409,1.39,-1.294,-1.195,-0.912,-0.927,-1.191,-1.28,0.357,-0.441,1.819,1.371
TCGA.DS.A1OD.01A.11R.A14Y.07,0.082191326,0.135684382,0.357779646,0,0,0.0136452,0.142982868,0,0,0,0.084560323,0.178722433,0.004433822,0,5.514,0.104,-0.607,3.963,2.398,2.783,2.91,2.294,0,3.66,0.791,-0.354,4.353,-2.093,-1.457,-0.523,0.996,-0.775,-1.564,-1.848,-0.323,0.675,1.248
TCGA.DS.A5RQ.01A.11R.A28H.07,0.008496721,0.066439428,0.360433673,0,0,0.002558754,0,0.256952634,0.022100848,0,0.146431248,0.135142268,0.001444426,0,5.364,0.534,-3.062,1.06,1.246,2.114,0.877,0.309,-0.073,1.532,0.419,0.298,2.006,-0.893,-0.043,0.085,-1.497,-0.709,-2.136,1.239,0.533,-0.146,1.163
TCGA.EA.A1QS.01A.61R.A22U.07,0,0.264928977,0.292990414,0,0,0.016687152,0,0.171184127,7.16E-05,0.020418607,0.054796453,0.176677057,0.000442655,0.001802975,5.327,-0.537,-4.221,-0.31,0.417,0.027,-0.689,0.974,1.009,0.565,0.602,-1.162,0.311,-0.101,-0.353,0.472,-1.068,-0.452,-1.504,-1.086,-1.71,-0.355,0.501
TCGA.EA.A1QT.01A.11R.A14Y.07,0,0.12252825,0.21622364,0,0,0.018036037,0.003804801,0.339324822,0.140741443,0,0,0.155161111,0.004111677,6.82E-05,5.416,0.838,-2.038,0.145,-1.199,0.643,0.886,0.561,-0.899,1.301,-1.01,0.135,1.392,0.28,-0.511,-1.448,-1.492,-0.903,-0.841,-1.333,-1.923,1.188,0.093
TCGA.EA.A3HQ.01A.11R.A213.07,0.122602125,0.077885839,0.235864568,0,0,0.014061219,0,0.264342714,0.082148538,0,0.014385595,0.188709403,0,0,5.666,0.239,-1.973,1.664,0.832,1.217,1.452,1.266,0.976,1.775,-0.471,-0.775,2.06,-0.451,-0.099,-0.113,1.13,-0.001,-1.166,-0.675,0.453,1.812,1.86
TCGA.EA.A3HR.01A.11R.A213.07,0.062010971,0.207857604,0.270609206,0,0,0.019212636,0,0.252939233,0.12418629,0,0,0.063184061,0,0,5.102,0.931,-2.423,-0.895,1.765,-0.188,0.956,1.19,-0.984,-0.429,-0.635,-0.124,-0.838,-1.403,-0.315,-0.497,-0.048,-0.344,-1.654,0.42,-0.283,0.588,0.22
TCGA.EA.A3HS.01A.11R.A213.07,0.099115468,0.086088443,0.179133442,0,0,0,0,0.288741792,0.142984757,0,0,0.194703062,0.009233036,0,5.4,-0.538,-3.23,0.118,-0.049,0.466,0.802,0.209,1.016,1.423,-0.896,-1.477,0.978,-1.746,-1.525,-1.201,0.522,-0.903,-1.938,-0.78,-0.266,2.098,0.283
TCGA.EA.A3HT.01A.61R.A21T.07,0,0.283739721,0.215075195,0,0,0,0,0.189636116,0.071590062,0,0.052991183,0.18627682,0,0.000690903,5.723,-0.079,-2.614,0.36,0.546,1.295,-0.277,0.258,0.111,1.866,0.475,1.53,1.373,0.777,0.297,1.143,1.112,-0.451,-1.972,0.434,-0.434,0.402,0.458
TCGA.EA.A3HU.01A.11R.A213.07,0.006644813,0.240377345,0.414873426,0,0,0.0124403,0,0.076385131,0,0,0.066884576,0.159404901,0.018555399,0.004434109,6.032,-0.777,-1.564,3.099,1.409,3.812,3.007,2.228,-0.456,3.267,0.308,-1.779,4.505,-1.06,-1.54,0.967,-0.167,-1.8,-2.524,-1.025,-1.084,0.356,1.104
TCGA.EA.A3QD.01A.32R.A22U.07,0.148799793,0.174115238,0.269424532,0,0,0.036704885,0,0.192054158,0.02416831,0,0.08887467,0.065858415,0,0,5.331,-0.091,-0.814,4.668,2.569,2.99,3.187,3.201,-0.042,3.693,1.459,-0.641,4.744,-0.083,-0.831,0.45,0.812,-1.373,0.216,-1.146,1.804,2.402,0.29
TCGA.EA.A3QE.01A.21R.A21T.07,0,0.369714023,0.285643999,0,0,0.000996219,0,0.15208097,0.077703836,0,0.008779701,0.093406476,0.00600919,0.005665586,6.161,1.22,-0.253,3.984,2.678,3.626,2.927,2.457,-1.044,2.565,0.805,0.928,4.388,-1.329,-0.452,0.398,0.059,-1.147,0.113,1.305,-0.034,2.489,0.224
TCGA.EA.A411.01A.11R.A24H.07,0,0,0.297743727,0,0.164289647,0,0,0.179245906,0.072148497,0.049233434,0.029153241,0.199097179,0,0.009088369,5.03,-0.906,-1.688,0.92,2.405,-0.35,-1.433,-0.088,-0.143,0.507,1.064,0.886,0.011,-0.098,-0.892,-0.073,0.869,-0.162,-1.364,-1.604,0.234,2.164,0.848
TCGA.EA.A43B.01A.81R.A32Y.07,0.019374821,0.040141282,0.269510318,0,0,0.006861567,0,0.25865104,0.166958808,0,0.106171111,0.114996353,0.009203652,0.008131048,5.18,0.481,-0.371,2.255,0.42,1.65,2.005,1.847,0.757,2.927,-0.15,-0.624,2.614,0.955,0.863,-1.155,0.573,-0.609,-0.333,-1.596,0.188,0.669,-0.008
TCGA.EA.A44S.01A.12R.A26T.07,0.028153527,0.064603059,0.408906133,0,0,0.014701647,0,0.182711567,0.108689677,0,0.048251565,0.138193259,0.005606035,0.00018353,4.915,-0.359,-2.147,1.422,1.211,-0.074,-1.19,0.385,-1.472,1.356,-0.063,-0.842,1.115,-1.264,-0.444,-0.273,-0.531,0.841,-0.457,-0.977,0.226,0.297,-1.16
TCGA.EA.A50E.01A.21R.A26T.07,0,0,0.334062026,0,0,0.012151486,0,0.316916029,0.193839419,0,0,0.141674079,0.001006333,0.000350627,5.153,-0.537,-0.814,0.883,0.254,-0.131,-0.446,1.152,-1.372,2.139,-0.617,-0.04,0.773,-0.407,-1.291,0.681,1.078,-0.949,-2.427,-1.339,0.182,2.566,0.897
TCGA.EA.A5FO.01A.21R.A28H.07,0,0,0.333226218,0,0,0,0,0.402503304,0.026410791,0,0,0.235279846,0.000662258,0.001917584,4.213,-0.979,-4.748,-1.163,0.466,-0.256,0.481,-1.737,-0.72,-0.321,-1.135,-0.314,0.632,-2.966,-1.754,1.005,0.003,-1.464,-1.539,-1.187,-2.869,1.385,0.545
TCGA.EA.A5O9.01A.11R.A28H.07,0.008293586,0.078651274,0.41480116,0,0,0.006061293,0,0.158846321,0.057120578,0,0.167209585,0.100286897,0.008709199,2.01E-05,5.114,0.115,-3.319,0.141,-0.283,0.389,-0.404,-0.486,-1.483,1.257,-0.592,-0.069,1.069,-1.276,-0.643,1.089,0.589,0.91,-1.069,-0.542,-1.296,-0.156,-0.232
TCGA.EA.A5ZD.01A.11R.A28H.07,0.003087109,0.317742143,0.18264156,0,0,0.049620061,0,0.220409946,0.048739586,0,0,0.177759594,0,0,5.348,0.386,-2.344,1.833,1.734,2.687,2.008,0.267,0.227,0.864,0.254,0.335,2.135,0.1,-0.019,1.057,-0.431,0.543,-0.781,0.326,-0.648,1.167,1.128
TCGA.EA.A5ZE.01A.11R.A28H.07,0.089075096,0.108083864,0.335343066,0,0,0,0,0.160201791,0,0,0.078073153,0.229223029,0,0,5.22,0.095,-0.921,0.771,0.756,-0.237,0.294,0.419,0.095,1.566,-1.468,0.369,0.567,-1.026,-0.55,-0.906,1.306,-0.668,-1.525,-0.953,-0.074,1.228,1.778
TCGA.EA.A5ZF.01A.11R.A28H.07,0,0.269016987,0.293337166,0,0,0.009694886,0,0.174165494,0,0.071387974,0,0.179412277,0.000651979,0.002333237,4.309,-1.671,-3.737,0.489,0.171,0.388,-1.072,-1.339,-0.007,0.313,0.364,0.123,0.597,-0.068,-1.473,-0.584,-0.365,-0.32,-0.9,-0.53,-1.537,-0.2,-1.721
TCGA.EA.A6QX.01A.12R.A33Z.07,0.072497247,0.322863748,0.272256676,0,0,0.010416709,0,0.08999759,0.091190646,0,0,0.134783973,0.002351657,0.003641754,5.517,-0.44,0.319,0.236,0.789,0.64,0.569,0.22,-0.578,1.118,0.165,-0.931,1.386,-1.529,-0.634,0.344,-1.242,-0.293,-1.308,0.304,0.659,0.397,-1.722
TCGA.EA.A78R.01A.11R.A32P.07,0,0.128965376,0.441055096,0,0,0.0148859,0,0.117303759,0.132984919,0.007045677,0.004513473,0.148332638,0.004119017,0.000794145,5.459,0.443,-0.71,2.786,1.295,2.459,1.928,1.343,0.009,2.089,0.626,0.65,3.141,1.302,0.799,0.784,0.564,-0.81,-0.155,-0.766,0.09,0.114,-0.88
TCGA.EA.A97N.01A.11R.A38B.07,0,0.138081663,0.386228703,0,0,0.000269306,0,0.204705581,0.12207755,0,0.003472099,0.144510393,0,0.000654706,5.01,-0.162,-2.085,0.521,1.536,0.476,-0.101,-1.214,1.433,-0.926,-0.402,-0.319,-0.067,-1.256,-0.539,-0.527,-0.108,0.366,-1,-0.41,-1.833,-0.44,0.411
TCGA.EK.A2GZ.01A.11R.A180.07,0,0.367463941,0.241875888,0,0,0.011729596,0,0.178001989,0.113113054,0,0,0.085263412,0.001919012,0.000633109,5.402,-0.133,-2.012,0.833,0.21,0.706,-0.54,0.282,-1.108,1.477,-0.063,0.447,1.78,-1.202,-0.41,1.162,0.106,-0.61,-1.434,0.271,0.085,1.692,-1.354
TCGA.EK.A2H1.01A.11R.A180.07,0,0.051669932,0.417068021,0,0,0,0.025156092,0.146304135,0,0,0.32568165,0.019612164,0.010953794,0.003554211,5.913,0.342,1.602,3.261,0.641,2.75,2.337,2.519,0.075,3.683,1.34,3.387,3.94,-0.298,0.414,0.229,0.019,-0.969,-1.449,0.618,0.212,0.442,-0.151
TCGA.EK.A2PI.01A.11R.A18M.07,0,0.217207646,0.35212998,0,0,0.01682946,0,0.19144505,0.116199797,0.009414833,0,0.093930857,0.002127537,0.000714841,5.407,0.045,-2.068,1.009,-0.085,0.856,-0.861,-0.432,0.669,-1.195,-0.814,-1.154,0.296,-0.132,0.119,1.052,0.377,-0.947,-2.282,-1.631,-0.873,-0.165,-1.24
TCGA.EK.A2PK.01A.11R.A18M.07,0.124714933,0.197661513,0.230158433,0,0,0,0,0.253417681,0,0,0.064613927,0.083494221,0.045939293,0,5.369,-0.738,-0.721,1.894,-0.193,1.613,1.465,1.928,-1.261,3.582,0.03,2.111,3.071,-1.051,-1.163,-0.123,-0.288,0.5,0.405,-0.241,0.587,-0.636,1.024
TCGA.EK.A2PL.01A.11R.A18M.07,0,0,0.46417373,0,0,0.001513845,0,0.133570763,0.255681353,0,0,0.144590939,0,0.00046937,5.144,0.107,-0.521,-0.623,-1.248,-0.193,0.165,-0.459,-0.09,0.516,-1.194,0.349,0.427,-2.391,-1.497,-0.633,-0.586,-0.607,-1.321,-0.147,0.207,1.191,-2.434
TCGA.EK.A2PM.01A.11R.A18M.07,0,0.136856218,0.279552989,0,0,0.01935523,0,0.429222291,0.092993112,0,0,0.03920496,0.002628298,0.000186902,4.612,1.566,-1.485,-1.565,1.039,-0.671,-1.568,-0.917,0.841,0.419,-1.32,-0.413,-0.905,-0.268,-0.445,-1.46,0.306,-1.947,-2.411,-0.832,-1.735,3.653,-0.298
TCGA.EK.A2R7.01A.11R.A18M.07,0.106205467,0.155283993,0.153431445,0,0,0.035584049,0,0.327358836,0.021253766,0,0,0.199373373,0,0.001509072,5.145,-1.022,-0.108,2.639,2.251,0.658,0.177,1.315,0.57,1.278,0.235,0.94,1.472,-0.482,-0.942,-0.198,-0.224,-0.143,-0.924,1.241,-0.226,-0.708,-1.933
TCGA.EK.A2R8.01A.21R.A18M.07,0,0,0.384195683,0,0,0,0,0.38183074,0.040739601,0,0.063869226,0.122412653,0.004460741,0.002491355,5.656,-0.949,-1.89,-0.233,-1.236,0.701,1.701,-0.275,-0.334,0.554,0.647,3.23,1.94,0.843,-1.031,0.386,-0.933,-1.64,-2.246,0.002,-1.61,0.542,0.254
TCGA.EK.A2R9.01A.11R.A18M.07,0.157621952,0.052708242,0.107555667,0,0,0.017835124,0,0.376549461,0,0,0.143559117,0.144170437,0,0,5.383,0.484,-0.023,2.65,1.925,1.408,1.646,0.993,0.575,2.913,0.858,-1.676,2.892,-1.604,-0.987,-1.072,-0.628,-0.332,-1.891,-1.756,-0.908,0.675,-0.396
TCGA.EK.A2RA.01A.11R.A18M.07,0.022780611,0.25186025,0.262678047,0,0,0.008261823,0,0.198082514,0.090873847,0,0.033581103,0.124597017,0.007284788,0,5.266,0.531,-0.609,2.762,2.313,2.719,2.639,0.794,1.006,1.993,0.119,0.868,3.789,-1.881,-1.551,-1.379,0.163,0.167,-0.282,-1.093,0.024,1.769,-0.824
TCGA.EK.A2RB.01A.11R.A18M.07,0.067286396,0.094924412,0.313646495,0,0,0.02069982,0,0.184908577,0.234587699,0,0,0.071152572,0.012794029,0,5.053,-0.7,-2.193,-0.887,-0.645,0.077,-0.646,-0.717,-1.423,0.519,-1.44,0.435,0.643,-0.586,-0.104,0.642,-0.912,-0.208,-1.484,-0.591,-0.374,1.913,-1.735
TCGA.EK.A2RC.01A.11R.A18M.07,0.06697807,0.21410465,0.23288712,0,0,0.006112742,0,0.153465969,0.210177185,0,0,0.105369959,0.010904305,0,5.283,0.493,-1.743,1.091,1.259,1.305,0.103,0.604,-0.638,1.37,0.495,0.378,1.477,-1.28,-0.456,0.409,1.287,-0.988,-1.31,0.261,1.281,-0.121,-1.125
TCGA.EK.A2RK.01A.11R.A18M.07,0.01699929,0,0.32662997,0,0,0.000410287,0,0.370911743,0.039611058,0,0.058633065,0.185871846,0.000932741,0,5.289,-0.012,-2.966,2.438,1.443,2.122,2.483,0.395,1.213,0.858,0.146,-2.435,3.208,-1.637,-0.684,-0.467,0.284,-0.073,-0.585,-1.346,-0.818,0.56,0.222
TCGA.EK.A2RO.01A.11R.A18M.07,0,0.045125452,0.365201102,0,0,0,0.037686905,0.144586858,0.173787165,0.027172968,0.046995762,0.140663374,0.017904132,0.000876282,5.742,-0.435,-1.745,1.472,1.979,0.914,-0.549,0.823,-0.101,2.491,1.055,0.646,1.606,0.273,-0.78,0.683,-1.367,-0.383,-1.834,-1.031,-0.818,0.602,-1.331
TCGA.EK.A3GJ.01A.21R.A213.07,0.124924366,0.058639889,0.310272615,0,0,0.011219063,0,0.249814769,0,0,0.128167021,0.116962277,0,0,5.445,0.398,1.193,2.255,0.823,3.283,2.846,1.159,-0.686,2.816,0.69,-0.102,4.413,0.154,-0.893,-0.143,0.078,-0.997,-2.261,-0.451,-0.232,0.357,1.123
TCGA.EK.A3GN.01A.11R.A213.07,0,0.092122687,0.445811034,0,0,0.015801664,0,0.291681178,0.017912453,0.026247723,0,0.107978041,0.001757407,0.000687814,5.056,-0.601,-0.258,-1.97,-1.37,0.434,-1.271,-0.487,-0.223,0.619,-0.568,0.879,-1.321,-1.273,-0.214,1.149,0.59,-1.131,-1.659,-0.484,-2.707,3.347,-1.315
TCGA.EX.A1H5.01A.31R.A13Y.07,0,0.179563652,0.425044152,0,0,0.021916783,0,0.127416531,0.030028872,0.006853009,0,0.188870963,0.004989838,0.015316201,5.109,0.305,-1.292,0.356,1.444,-0.004,-0.556,-0.985,0.948,-0.657,0.019,-0.123,0.151,-0.221,0.485,-1.203,1.035,-0.973,-0.304,-1.396,-2.008,0.272,0.498
TCGA.EX.A3L1.01A.11R.A32Y.07,0,0,0.494774365,0,0,0,0,0.150488691,0.222532992,0,0.019591627,0.093893043,0.0098807,0.008838582,4.723,2.07,-2.922,0.736,0.452,-0.347,-0.086,1.507,0.369,2.357,0.298,4.751,-0.23,0.562,-1.239,0.671,-1.009,0.615,0.217,0.976,-0.352,0.455,0.189
TCGA.EX.A69L.01A.11R.A32P.07,0,0.190115118,0.292436727,0,0,0.02685015,0,0.157889114,0.069257901,0,0.082534455,0.177735674,0,0.003180861,5.91,0.694,-0.052,2.078,1.249,3.66,2.759,0.988,-0.999,2.835,0.414,0.172,4.172,-0.777,-0.452,0.105,0.116,-0.34,-1.184,-0.392,0.882,1.003,-0.864
TCGA.EX.A69M.01A.11R.A32P.07,0.023167644,0.300966235,0.311745732,0,0,0.013233093,0.014282709,0.015106725,0.044654336,0,0.102615319,0.167783198,0.001105428,0.005339582,4.918,0.474,-0.442,2.396,1.469,2.792,2.099,1.45,-0.877,2.788,0.36,1.789,3.781,-0.418,-1.297,0.192,-0.639,-0.215,-0.82,-0.751,0.342,0.995,0.319
TCGA.FU.A23L.01A.11R.A16R.07,0.026594392,0.20244936,0.394526371,0,0,0.025651032,0,0.058815345,0.06138392,0,0.034168056,0.186278202,0.009876026,0.000257295,4.47,-0.125,-0.517,2.114,2.15,2.671,2.214,0.784,0.973,2.45,0.691,0.911,3.342,-1.23,-0.388,-0.477,-0.797,0.452,-0.186,-0.636,0.878,-0.228,-0.329
TCGA.FU.A2QG.01A.11R.A18M.07,0.015129663,0.189969371,0.2362962,0,0,0.014292805,0,0.333717061,0.094942952,0,0,0.105221287,0.010430661,0,5.256,-0.603,0.054,-0.831,-0.642,0.28,0.744,-0.159,-0.643,0.964,-0.864,0.46,1.62,-0.867,-0.636,-1.16,0.278,0.745,-0.093,-0.738,-1.199,2.583,1.252
TCGA.FU.A3HY.01A.11R.A21T.07,0,0.130929879,0.273837559,0,0,0.009311709,0,0.343894202,0.116145465,0.033262335,0,0.090055492,0.001950162,0.000613197,5.351,0.115,-2.178,-0.778,-0.708,-1.159,0.609,0.086,1.373,0.531,0.232,1.222,0.817,-1.4,-0.562,1.122,-0.171,1.19,0.028,-0.635,-0.925,0.112,-0.521
TCGA.FU.A3NI.01A.11R.A21T.07,0,0.165614945,0.101247384,0,0,0.00331469,0,0.397426377,0.128689499,0,0,0.203507002,0,0.000200104,5.357,-0.124,-1.436,0.852,0.849,-0.238,0.444,-0.191,-0.641,0.141,-0.023,-0.589,0.735,-1.164,-0.44,-1.1,1.092,-0.346,-1.19,-1.461,-0.122,2.11,-0.348
TCGA.FU.A3TQ.01A.11R.A22U.07,0,0.087373993,0.368899812,0,0,0.002869594,0,0.198125386,0.06628904,0,0.099628065,0.17298096,0.003346586,0.000486565,5.753,-0.179,-1.498,0.237,1.682,1.671,0.372,-0.317,0.337,-0.451,-0.728,0.823,0.729,-0.316,-0.377,0.611,0.566,0.549,-0.401,0.337,-1.153,0.407,1.618
