Sample,B.cells,CD4.Naive,CD4.Memory,CD8.Naive,CD8.Memory,CD8.Effector,Treg.cell,Th.cell,Monocytes.CD16,Monocytes.CD14,DC,pDC,NK,Plasma,Step1,Step2,Step3,Step4.T.cell.recruiting,Step4.CD4.T.cell.recruiting,Step4.CD8.T.cell.recruiting,Step4.Th1.cell.recruiting,Step4.Dendritic.cell.recruiting,Step4.Th22.cell.recruiting,Step4.Macrophage.recruiting,Step4.Monocyte.recruiting,Step4.Neutrophil.recruiting,Step4.NK.cell.recruiting,Step4.Eosinophil.recruiting,Step4.Basophil.recruiting,Step4.Th17.cell.recruiting,Step4.B.cell.recruiting,Step4.Th2.cell.recruiting,Step4.Treg.cell.recruiting,Step4.MDSC.recruiting,Step5,Step6,Step7
TCGA.ZJ.AAX4.01A.11R.A42T.07,0.025999792,0.239895732,0.303259448,0,0,0.016138142,0,0.143210376,0.049242127,0,0.074150257,0.148104125,0,0,5.581,-0.056,-2.214,2.514,1.726,1.138,0.763,1.703,0.47,2.326,0.115,-0.176,2.583,-0.072,0.682,-0.562,-1.111,-0.955,0.297,-0.34,0.996,3.327,-0.203
TCGA.ZJ.AAX8.01A.11R.A42T.07,0.039520434,0,0.297141252,0,0.044332258,0,0,0.283664792,0.009425366,0,0.140768571,0.184959645,0,0.000187681,5.846,0.075,0.95,1.138,1.256,2.14,0.791,0.671,-0.068,2.06,-0.389,-0.174,2.124,-1.157,-0.854,0.967,-0.957,0.629,-0.136,-0.432,-0.578,0.171,0.857
TCGA.ZJ.AAXA.01A.11R.A42T.07,0,0,0.3898314,0,0,0.008687298,0,0.302539564,0.017729934,0,0,0.279183215,0.001475909,0.00055268,4.79,1.313,-0.414,-0.823,0.927,1.22,-0.474,-0.787,0.045,-0.242,-0.396,-3.535,-1.32,-1.354,-0.458,0.503,0.337,0.212,-0.585,-0.977,0.232,3.139,-1.463
TCGA.ZJ.AAXD.01A.21R.A42T.07,0.040303882,0.220393151,0.079203461,0,0.060022365,0,0,0.370978272,0.103760805,0.001786058,0,0.123552006,0,0,5.376,-0.716,-0.153,-1.465,1.358,-0.85,-0.745,1.09,1.38,-0.132,0.76,-0.554,-1.255,-0.56,-0.439,-0.48,0.002,-0.596,-1.547,-0.782,-1.321,0.987,-0.72
TCGA.ZJ.AAXF.01A.31R.A42T.07,0.130493415,0.061154358,0.120127169,0,0.143314308,0.008833931,0,0.323693382,0.059668595,0,0,0.152714843,0,0,5.122,0.151,0.733,2.659,1.714,1.475,1.575,1.467,0.704,1.306,-0.848,-1.03,2.001,-0.732,0.118,0.19,0.156,1.098,-0.103,0.069,0.293,2.684,-0.071
TCGA.ZJ.AAXJ.01A.11R.A42T.07,0.024733744,0.047633959,0.464141979,0,0,0.004251048,0,0.143755038,0.150206933,0,0.116802584,0.043009043,0.003691582,0.001774089,5.305,0.077,-1.32,0.527,0.395,-0.019,-0.878,-0.9,-0.594,-0.3,-1.241,0.486,-0.322,-0.471,-0.418,0.333,0.682,-0.827,0.074,-1.5,0.222,-0.407,0.108
TCGA.ZJ.AAXN.01A.11R.A42T.07,0.121444932,0.018537271,0.255086289,0,0.014405325,0,0,0.338674339,0.050871419,0,0.103978225,0.081843781,0.01515842,0,5.433,0.364,0.437,0.146,-1.538,2.296,2.322,0.911,0.051,2.318,-0.953,1.439,2.578,-0.97,-0.074,-0.405,1.19,-1.067,-2.39,-0.03,-1.263,1.52,0.95
TCGA.ZJ.AAXT.01A.11R.A42T.07,0.001021165,0,0.213097107,0,0,0,0,0.431987276,0.263499766,0,0,0.087024056,0.002204149,0.00116648,5.318,1.036,-1.817,2.754,1.486,2.354,1.671,2.536,-0.07,2.906,0.633,1.565,3.093,-1.296,-1.162,0.152,-0.786,-0.683,-2.032,-0.08,-1.384,2.738,-0.347
TCGA.ZJ.AAXU.01A.11R.A42T.07,0.106256903,0,0.331670305,0,0,0.006620883,0,0.426033583,0.023559665,0,0.003063647,0.089006075,0.003124635,0.010664304,5.636,0.577,-0.035,3.381,1.756,1.98,1.2,2.608,-0.557,2.707,0.504,0.564,2.94,-0.508,-0.807,0.176,0.391,0.511,-0.136,-0.203,-0.787,2.206,-0.108
TCGA.ZJ.AB0I.01A.11R.A42T.07,0.021278169,0.182925703,0.163768932,0,0,0,0,0.307628956,0,0,0.238383763,0.082358749,0.00365573,0,5.603,0.315,1.123,-0.667,-1.125,-0.456,-0.924,0.47,0.992,1.774,-1.207,0.637,0.622,-1.361,-0.768,0.194,-1.495,-0.495,-1.203,0.237,0.116,2.28,-0.065
TCGA.ZX.AA5X.01A.11R.A42T.07,0.018887933,0.289658918,0.242058267,0,0,0.005315379,0,0.177583829,0.074583788,0,0.029292148,0.155038376,0.006414766,0.001166598,5.472,0.128,-2.275,1.153,2.126,0.703,0.504,0.773,0.023,1.416,0.412,-0.025,1.104,-0.503,0.123,-0.044,0.482,0.633,-0.453,0.12,0.657,1.085,0.825
